-61572891,715388286
-61572890,715388287
-61572888,715388289
-61572886,715388288
-61572885,715388287
-61572884,715388285
-61572883,715388283
-61572881,715388280
-61572874,715388289
-61572890,715388295
-61572904,715388275
-61572935,715388272
-61572935,715388267
-61572936,715388267
-61572938,715388266
-61572944,715388261
-61572940,715388262
-61572938,715388261
-61572940,715388259
-61572943,715388257
-61572946,715388254
-61572950,715388256
-61572956,715388253
-61572952,715388247
-61572945,715388242
-61572936,715388235
-61572937,715388229
-61572942,715388227
-61572946,715388230
-61572945,715388231
-61572943,715388226
-61572943,715388219
-61572945,715388217
-61572944,715388211
-61572942,715388210
-61572942,715388208
-61572943,715388208
-61572951,715388208
-61572962,715388207
-61572969,715388205
-61572975,715388203
-61572974,715388200
-61572969,715388196
-61572964,715388187
-61572961,715388180
-61572961,715388175
-61572966,715388179
-61572974,715388187
-61572982,715388197
-61572987,715388202
-61572986,715388206
-61572982,715388209
-61572980,715388207
-61572978,715388202
-61572975,715388194
-61572973,715388185
-61572972,715388179
-61572973,715388175
-61572975,715388175
-61572979,715388180
-61572985,715388187
-61572991,715388195
-61572996,715388198
-61573003,715388194
-61573008,715388189
-61573013,715388182
-61573019,715388174
-61573024,715388168
-61573026,715388162
-61573025,715388158
-61573025,715388155
-61573023,715388154
-61573022,715388154
-61573023,715388155
-61573040,715388161
-61573033,715388162
-61573029,715388154
-61573041,715388167
-61573042,715388169
-61573043,715388171
-61573043,715388172
-61573044,715388173
-61573043,715388174
-61573042,715388173
-61573041,715388170
-61573037,715388164
-61573036,715388159
-61573038,715388156
-61573044,715388158
-61573051,715388164
-61573056,715388172
-61573054,715388180
-61573049,715388183
-61573046,715388184
-61573047,715388182
-61573050,715388181
-61573058,715388185
-61573064,715388195
-61573066,715388195
-61573066,715388195
-61573066,715388194
-61573067,715388195
-61573069,715388199
-61573073,715388204
-61573077,715388211
-61573080,715388217
-61573080,715388222
-61573081,715388222
-61573081,715388221
-61573080,715388219
-61573079,715388215
-61573080,715388212
-61573081,715388204
-61573083,715388212
-61573070,715388212
-61573070,715388221
-61573071,715388223
-61573072,715388225
-61573073,715388227
