lat_degs,lat_mins,lat_secs,lon_degs,lon_mins,lon_secs
-6.000000,9.000000,26.298360,71.000000,32.000000,19.739040
-6.000000,9.000000,26.300160,71.000000,32.000000,19.741920
-6.000000,9.000000,26.299440,71.000000,32.000000,19.744800
-6.000000,9.000000,26.297640,71.000000,32.000000,19.745880
-6.000000,9.000000,26.296560,71.000000,32.000000,19.746240
-6.000000,9.000000,26.296920,71.000000,32.000000,19.745520
-6.000000,9.000000,26.298000,71.000000,32.000000,19.745160
-6.000000,9.000000,26.300880,71.000000,32.000000,19.746600
-6.000000,9.000000,26.303040,71.000000,32.000000,19.750200
-6.000000,9.000000,26.303760,71.000000,32.000000,19.750200
-6.000000,9.000000,26.303760,71.000000,32.000000,19.750200
-6.000000,9.000000,26.303760,71.000000,32.000000,19.749840
-6.000000,9.000000,26.304120,71.000000,32.000000,19.750200
-6.000000,9.000000,26.304840,71.000000,32.000000,19.751640
-6.000000,9.000000,26.306280,71.000000,32.000000,19.753440
-6.000000,9.000000,26.307720,71.000000,32.000000,19.755960
-6.000000,9.000000,26.308800,71.000000,32.000000,19.758120
-6.000000,9.000000,26.308800,71.000000,32.000000,19.759920
-6.000000,9.000000,26.309160,71.000000,32.000000,19.759920
-6.000000,9.000000,26.309160,71.000000,32.000000,19.759560
-6.000000,9.000000,26.308800,71.000000,32.000000,19.758840
-6.000000,9.000000,26.308440,71.000000,32.000000,19.757400
-6.000000,9.000000,26.308800,71.000000,32.000000,19.756320
-6.000000,9.000000,26.309160,71.000000,32.000000,19.753440
-6.000000,9.000000,26.309880,71.000000,32.000000,19.756320
-6.000000,9.000000,26.305200,71.000000,32.000000,19.756320
-6.000000,9.000000,26.305200,71.000000,32.000000,19.759560
-6.000000,9.000000,26.305560,71.000000,32.000000,19.760280
-6.000000,9.000000,26.305920,71.000000,32.000000,19.761000
-6.000000,9.000000,26.306280,71.000000,32.000000,19.761720
-6.000000,9.000000,26.306640,71.000000,32.000000,19.762800
-6.000000,9.000000,26.305920,71.000000,32.000000,19.764240
-6.000000,9.000000,26.306280,71.000000,32.000000,19.760640
-6.000000,9.000000,26.306640,71.000000,32.000000,19.756680
-6.000000,9.000000,26.304480,71.000000,32.000000,19.755240
-6.000000,9.000000,26.301960,71.000000,32.000000,19.755240
-6.000000,9.000000,26.301240,71.000000,32.000000,19.756320
-6.000000,9.000000,26.299440,71.000000,32.000000,19.758120
-6.000000,9.000000,26.299440,71.000000,32.000000,19.760280
-6.000000,9.000000,26.299440,71.000000,32.000000,19.762800
-6.000000,9.000000,26.299080,71.000000,32.000000,19.766040
